Datum;Fossile;Wind;Solar
01/2016;37521;9771;702
02/2016;32023;10371;1350
03/2016;35256;6331;2591
04/2016;30078;6235;4129
05/2016;27404;6445;5190
06/2016;27909;4434;5436
07/2016;27991;4434;5436
08/2016;28239;4533;5191
09/2016;32634;4021;4233
10/2016;36135;5341;1846
11/2016;37183;7680;1122
12/2016;37774;8821;875
01/2017;37369;7813;869
02/2017;34284;9882;1612
03/2017;34069;9294;3518
04/2017;30025;8091;4312
05/2017;30663;5690;5127
06/2017;26768;7120;5984
07/2017;28811;5590;5466
08/2017;28736;5586;5150
09/2017;30773;6372;3446
10/2017;28855;12672;2385
11/2017;34430;10427;980
12/2017;31333;15171;553
01/2018;30804;14442;790
02/2018;34245;7940;1983
03/2018;33983;10661;2920
04/2018;26060;8892;5388
05/2018;25022;7194;6609
06/2018;26600;5739;5948
07/2018;30103;4392;6875
08/2018;29871;6044;5780
09/2018;27804;7881;4537
10/2018;30596;10615;3062
11/2018;33281;9825;1306
12/2018;29678;14264;586
01/2019;34566;13925;856
02/2019;30690;10893;2107
03/2019;24775;16485;3457
04/2019;25336;9073;5872
05/2019;24871;8281;5747
06/2019;21357;6577;7399
07/2019;24516;6566;6572
08/2019;24077;5792;6045
09/2019;23300;9109;4480
10/2019;27267;11642;2807
11/2019;31734;10075;1109
12/2019;25661;15188;1066
01/2020;28290;15990;1261
02/2020;20967;20329;1923
03/2020;22470;14167;4657
04/2020;16490;8758;7335
05/2020;16946;7638;7121
06/2020;20213;6414;6613
07/2020;21680;7014;7316
08/2020;23129;6775;6330
09/2020;24711;6363;5378
10/2020;26166;13476;2561
